volgnr1z,buurtz,gebplmz,gebjrmz,relimz,bsmz,bersmz,berpmz,gebjrvz,gebplvaz,relivz,nrkindz,nrbodez,nrhgz,relhfdz,grondblz,pblz,patblz,totblz,jrhu1z,bervamz,bervavz,bermhuz,bervhuz,bergt1z,relgt1z,bergt2z,relgt2z,bergt3z,relgt3z,bergt4z,relgt4z,hugeldz,hulftaz,volgnr2z,hulftbz,bsvz,gebplvbz,vamasdz,pblvamz,vavasdz,pblvavz
207901,20,Amsterdam,1824,Evangelisch Luthers,gehuwd,verkeerswegen,reders,1824,Amsterdam,Nederlands Hervormd,1,1,0,-1,86,110,173,368,1861,reders,koopman,reders,zonder,reders,vader man,koopman,vader vrouw,koopman,broer/zwager vrouw,zonder,geen familie,"f.15,-",37,207902,32,3,Amsterdam,in Amsterdam,7,in Amsterdam,4
207951,3,Amsterdam,1809,Ned. Israelitisch,gehuwd,warenhandel,winkelier,1808,Amsterdam,Ned. Israelitisch,0,0,0,-1,73,190,4,266,1831,vader overleden,vader overleden,winkelier,zonder,diamantbewerking,broer/zwager vrouw,diamantbewerking,broer/zwager vrouw,zonder,geen familie,koopman,geen familie,geen of onbekend,22,207952,23,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
208001,23,Amsterdam,1818,Nederlands Hervormd,gehuwd,303,notaris,1837,Amsterdam,Nederlands Hervormd,3,2,0,-1,151,249,58,457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,208002,-1,-1,-1,-1,-1,-1,-1
208051,36,platteland Nederland,1828,Rooms Katholiek,gehuwd,vrije beroepen,arts,1850,Amsterdam,Nederlands Hervormd,2,2,0,-1,73,58,38,169,1880,vader overleden,timmerman,arts,zonder,koopman,broer/zwager man,koopman,broer/zwager man,koopman,oom/neef man,arts,geen familie,geen of onbekend,52,208052,29,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
208101,34,Amsterdam,1814,Nederlands Hervormd,gehuwd,crediet,geemployeerde,1814,Amsterdam,Nederlands Hervormd,3,1,0,-1,0,74,160,234,1841,boekhouder,onderwijzer,kantoorbediende,zonder,boekhouder,broer/zwager vrouw,ambachtsman,oom/neef man,boekhouder,broer/zwager man,ambtenaar,geen familie,geen of onbekend,27,208102,26,weduwe,Amsterdam,in Amsterdam,0,in Amsterdam,0
208151,2,Amsterdam,1820,Rooms Katholiek,gehuwd,zonder beroep,zonder,1828,Amsterdam,Rooms Katholiek,4,3,0,-1,109,156,0,266,1853,vader overleden,zonder,winkelier,zonder,koopman,broer/zwager man,ambachtsman,oom/neef man,ambtenaar,geen familie,koopman,geen familie,"f.15,-",32,208152,24,3,Amsterdam,buiten asd of dood,0,in Amsterdam,122
208201,49,Amsterdam,1830,Nederlands Hervormd,gehuwd,239,commissionair,1828,Amsterdam,Nederlands Hervormd,0,2,0,-1,51,100,26,176,1856,ambachtsman,vader overleden,winkelier,zonder,fabrikanten,broer/zwager vrouw,koopman,broer/zwager vrouw,kantoorbediende,broer/zwager vrouw,timmerman,broer/zwager vrouw,"f.15,-",26,208202,27,3,Amsterdam,in Amsterdam,68,buiten asd of dood,0
208251,16,steden Nederland,1815,Ned. Israelitisch,weduwnaar,warenhandel,koopman,1808,Duitsland,Ned. Israelitisch,0,1,0,-1,47,88,69,204,1840,koopman,slager,ambachtsman,dienstbode,ambachtsman,geen familie,ambachtsman,geen familie,ambachtsman,geen familie,ambachtsman,geen familie,geen of onbekend,24,208252,31,3,Duitsland,buiten asd of dood,0,buiten asd of dood,0
208301,20,platteland Nederland,1826,Ned. Israelitisch,gehuwd,zonder beroep,zonder,1830,Amsterdam,Ned. Israelitisch,1,2,0,-1,31,160,0,191,1851,vader overleden,zonder,ambachtsman,zonder,ambachtsman,broer/zwager man,zonder,oom/neef man,advocaat,geen familie,advocaat,geen familie,geen of onbekend,25,208302,20,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
208351,24,Amsterdam,1839,Ned. Israelitisch,gehuwd,62,ambachtsman,1846,steden Nederland,Ned. Israelitisch,4,3,0,-1,0,138,23,161,1861,ambachtsman,zonder,ambachtsman,zonder,ambachtsman,oom/neef man,ambachtsman,oom/neef man,ambachtsman,geen familie,koopman,geen familie,"f.4,-",22,208352,21,3,platteland Nederland,in Amsterdam,0,in Amsterdam,0
208401,3,Amsterdam,1855,Ned. Israelitisch,gehuwd,12,diamantbewerking,1855,Amsterdam,Ned. Israelitisch,3,1,0,-1,0,103,119,222,1876,diamantbewerking,vader overleden,diamantbewerking,zonder,ambachtsman,broer/zwager vrouw,ambachtsman,broer/zwager vrouw,winkelier,geen familie,diamantbewerking,geen familie,geen of onbekend,21,208402,21,3,Amsterdam,in Amsterdam,0,buiten asd of dood,0
208451,3,steden Nederland,1830,Ned. Israelitisch,gehuwd,gemeentedienst,ambtenaar,1823,platteland Nederland,Ned. Israelitisch,6,1,0,-1,31,92,0,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,208452,-1,-1,-1,-1,-1,-1,-1
208501,21,platteland Nederland,1838,Nederlands Hervormd,gehuwd,warenhandel,koopman,1854,platteland Nederland,Doopsgezind,2,2,0,-1,0,77,237,314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,208502,-1,-1,-1,-1,-1,-1,-1
208551,34,Amsterdam,1854,Nederlands Hervormd,ongehuwd,167,fabrikanten,-1,-1,-1,0,1,1,ander familielid,39,48,54,141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,208552,-1,-1,-1,-1,-1,-1,-1
208601,12,steden Nederland,1826,Rooms Katholiek,gehuwd,tussenhandel,commissionair,1824,Amsterdam,Rooms Katholiek,1,1,0,-1,0,89,38,127,1855,vader overleden,koopman,commissionair,zonder,koopman,vader vrouw,fabrikanten,broer/zwager vrouw,koopman,broer/zwager vrouw,commissionair,geen familie,"f.15,-",40,208602,32,weduwe,Amsterdam,buiten asd of dood,0,in Amsterdam,0
208651,44,Amsterdam,1841,Nederlands Hervormd,gehuwd,warenhandel,winkelier,1848,Amsterdam,Rooms Katholiek,6,0,0,-1,78,55,42,175,1870,vader overleden,winkelier,ambachtsman,zonder,winkelier,broer/zwager vrouw,zonder,oom/neef vrouw,winkelier,geen familie,ambachtsman,geen familie,"f.15,-",28,208652,21,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
208701,6,Amsterdam,1833,Nederlands Hervormd,gehuwd,kerkdienst,predikant,1839,platteland Nederland,Nederlands Hervormd,6,2,0,-1,63,201,0,263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,208702,-1,-1,-1,-1,-1,-1,-1
208751,4,overig buitenland,1838,Rooms Katholiek,gehuwd,warenhandel,koopman,1837,Amsterdam,Rooms Katholiek,1,1,0,-1,569,374,269,1211,1861,winkelier,vader overleden,koopman,zonder,koopman,broer/zwager vrouw,koopman,geen familie,commissionair,geen familie,winkelier,geen familie,"f.15,-",23,208752,23,3,Amsterdam,in Amsterdam,90,buiten asd of dood,0
208801,22,Amsterdam,1827,Ned. Israelitisch,gehuwd,vrije beroepen,arts,1835,Amsterdam,Ned. Israelitisch,1,2,0,-1,29,100,58,187,1859,vader overleden,vader overleden,arts,zonder,zonder,broer/zwager vrouw,zonder,broer/zwager man,diamantbewerking,broer/zwager man,commissionair,geen familie,"f.4,-",31,208802,24,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
208851,5,Amsterdam,1846,Rooms Katholiek,gehuwd,overigen,overigen,1849,steden Nederland,Rooms Katholiek,1,1,0,-1,0,104,145,249,1873,vader overleden,koopman,zonder,zonder,koopman,broer/zwager man,zonder,oom/neef man,koopman,oom/neef man,advocaat,geen familie,"f.15,-",27,208852,24,3,steden Nederland,buiten asd of dood,0,in Amsterdam,136
208901,20,Amsterdam,1801,Waals Hervormd,gehuwd,zonder beroep,zonder,1822,platteland Nederland,Waals Hervormd,0,1,0,-1,36,82,0,119,1826,ambtenaar,arts,arts,zonder,ambtenaar,vader man,arts,vader vrouw,stadhuisambtenaar,stadhuisambtenaar,stadhuisambtenaar,stadhuisambtenaar,geen of onbekend,24,208902,26,3,Amsterdam,in Amsterdam,0,in Amsterdam,0
208951,42,Amsterdam,1841,Rooms Katholiek,gehuwd,crediet,assuradeurs,1848,Amsterdam,Rooms Katholiek,6,2,0,-1,261,336,237,834,1872,vader overleden,makelaar,assuradeurs,zonder,koopman,broer/zwager vrouw,koopman,broer/zwager vrouw,koopman,oom/neef man,lid Staten-Generaal,oom/neef man,"f.50,-",25,208952,24,3,Amsterdam,buiten asd of dood,0,in Amsterdam,289
209001,25,platteland Nederland,1835,Nederlands Hervormd,gehuwd,tussenhandel,commissionair,1833,Amsterdam,Nederlands Hervormd,4,2,0,-1,39,123,87,249,1865,vader overleden,ambtenaar,commissionair,zonder,ambtenaar,vader vrouw,zonder,broer/zwager vrouw,commissionair,geen familie,advocaat,geen familie,"f.15,-",30,209002,31,3,Amsterdam,buiten asd of dood,0,in Amsterdam,209
209051,35,platteland Nederland,1846,Nederlands Hervormd,gehuwd,overigen,overigen,1844,Amsterdam,Waals Hervormd,0,3,0,-1,136,284,38,459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209052,-1,-1,-1,-1,-1,-1,-1
209101,25,Amsterdam,1833,Nederlands Hervormd,gehuwd,verkeerswegen,directeur,1832,Amsterdam,Nederlands Hervormd,0,2,0,-1,68,218,0,286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209102,-1,-1,-1,-1,-1,-1,-1
209151,25,Amsterdam,1817,Nederlands Hervormd,weduwnaar,zonder beroep,zonder,-1,-1,-1,1,4,0,-1,108,220,0,328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209152,-1,-1,-1,-1,-1,-1,-1
209201,9,Amsterdam,1821,Rooms Katholiek,gehuwd,voedingsmiddelen,fabrikanten,1819,Amsterdam,Rooms Katholiek,2,0,1,geen familie,78,121,298,497,1842,ambachtsman,vader overleden,ambachtsman,zonder,winkelier,geen familie,ambachtsman,geen familie,ambachtsman,geen familie,zonder,geen familie,geen of onbekend,21,209202,23,3,Amsterdam,in Amsterdam,0,buiten asd of dood,0
209251,23,platteland Nederland,1852,Rooms Katholiek,gehuwd,warenhandel,winkelier,1849,Amsterdam,Nederlands Hervormd,3,0,0,-1,0,159,31,190,1878,vader overleden,ambtenaar,winkelier,zonder,onderwijzer,oom/neef vrouw,schipper,oom/neef man,zonder,geen familie,koopman,geen familie,geen of onbekend,25,209252,28,3,Amsterdam,buiten asd of dood,0,in Amsterdam,65
209301,17,Amsterdam,1823,Nederlands Hervormd,gehuwd,warenhandel,koopman,1829,steden Nederland,Nederlands Hervormd,4,1,0,-1,37,100,38,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209302,-1,-1,-1,-1,-1,-1,-1
209351,26,Amsterdam,1823,Nederlands Hervormd,gehuwd,255,advocaat,1832,steden Nederland,Nederlands Hervormd,4,3,1,ander familielid,63,194,38,295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209352,-1,-1,-1,-1,-1,-1,-1
209401,42,Amsterdam,1839,Rooms Katholiek,gehuwd,warenhandel,koopman,1848,steden Nederland,Rooms Katholiek,6,4,0,-1,319,193,119,631,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209402,-1,-1,-1,-1,-1,-1,-1
209451,26,platteland Nederland,1842,Ned. Israelitisch,gehuwd,tussenhandel,commissionair,1842,Amsterdam,Nederlands Hervormd,1,1,0,-1,0,48,87,135,1880,kantoorbediende,ambachtsman,commissionair,zonder,zonder,oom/neef vrouw,commissionair,geen familie,ambachtsman,geen familie,commissionair,geen familie,geen of onbekend,37,209452,38,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
209501,25,Amsterdam,1802,Nederlands Hervormd,weduwnaar,zonder beroep,zonder,1803,Amsterdam,Nederlands Hervormd,0,2,0,-1,112,213,0,325,1833,lid gemeenteraad eld,vader overleden,militair,zonder,ambtenaar,broer/zwager man,advocaat,broer/zwager man,lid gemeenteraad eld,broer/zwager vrouw,ambtenaar,broer/zwager vrouw,geen of onbekend,31,209502,29,3,Amsterdam,in Amsterdam,0,buiten asd of dood,0
209551,32,Amsterdam,1830,Rooms Katholiek,gehuwd,warenhandel,koopman,1834,platteland Nederland,Rooms Katholiek,0,0,0,-1,57,81,26,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209552,-1,-1,-1,-1,-1,-1,-1
209601,5,Amsterdam,1845,Nederlands Hervormd,gehuwd,207,240,1845,platteland Nederland,Nederlands Hervormd,3,0,5,ander familielid,0,126,38,164,1878,vader overleden,vader overleden,240,zonder,zonder,oom/neef man,kantoorbediende,oom/neef man,zonder,geen familie,ambachtsman,broer/zwager vrouw,geen of onbekend,33,209602,33,3,platteland Nederland,buiten asd of dood,0,buiten asd of dood,0
209651,24,Amsterdam,1848,Evangelisch Luthers,gehuwd,239,commissionair,1855,platteland Nederland,Nederlands Hervormd,1,2,0,-1,0,78,38,116,1880,commissionair,vader overleden,commissionair,zonder,commissionair,vader man,commissionair,broer/zwager man,zonder,broer/zwager vrouw,ambtenaar,broer/zwager vrouw,geen of onbekend,31,209652,25,3,platteland Nederland,in Amsterdam,150,buiten asd of dood,0
209701,33,Amsterdam,1808,Rooms Katholiek,gehuwd,zonder beroep,zonder,1799,Amsterdam,Rooms Katholiek,0,1,0,-1,74,94,0,169,1851,vader overleden,vader overleden,koopman,zonder,zonder,oom/neef man,koopman,broer/zwager man,zonder,geen familie,koopman,geen familie,geen of onbekend,42,209702,52,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
209751,11,Amsterdam,1846,Nederlands Hervormd,gehuwd,warenhandel,koopman,1846,steden Nederland,Doopsgezind,2,1,0,-1,0,111,140,251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209752,-1,-1,-1,-1,-1,-1,-1
209801,2,platteland Nederland,1841,Ned. Israelitisch,gehuwd,metaalbewerking,fabrikanten,1842,Duitsland,Ned. Israelitisch,4,1,0,-1,0,216,58,274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209802,-1,-1,-1,-1,-1,-1,-1
209851,30,Amsterdam,1833,"Overig, zonder",gehuwd,warenhandel,koopman,1832,Amsterdam,Evangelisch Luthers,5,0,0,-1,57,8,77,142,1854,vader overleden,vader overleden,ambachtsman,zonder,werklieden,broer/zwager man,ambachtsman,broer/zwager man,zonder,geen familie,ambachtsman,geen familie,geen of onbekend,21,209852,21,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
209901,45,Amsterdam,1824,Nederlands Hervormd,gehuwd,34,aannemers,1835,steden Nederland,Nederlands Hervormd,3,2,1,ouder,84,87,173,343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209902,-1,-1,-1,-1,-1,-1,-1
209951,24,Amsterdam,1829,Evangelisch Luthers,gehuwd,warenhandel,directeur,1831,Amsterdam,Nederlands Hervormd,0,4,0,-1,939,830,173,1941,1856,koopman,vader overleden,koopman,zonder,fabrikanten,oom/neef man,koopman,oom/neef vrouw,zonder,oom/neef man,zonder,oom/neef man,"f.15,-",26,209952,25,3,Amsterdam,in Amsterdam,177,buiten asd of dood,0
210001,43,platteland Nederland,1849,Rooms Katholiek,ongehuwd,224,assuradeurs,-1,-1,-1,0,0,1,geen familie,0,92,42,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210002,-1,-1,-1,-1,-1,-1,-1
210051,45,Amsterdam,1825,Nederlands Hervormd,gehuwd,zonder beroep,zonder,1829,platteland Nederland,Nederlands Hervormd,0,0,0,-1,121,4,0,124,1854,vader overleden,vader overleden,werklieden,zonder,ambachtsman,broer/zwager man,ambachtsman,oom/neef man,ambachtsman,broer/zwager vrouw,winkelier,geen familie,"f.4,-",30,210052,24,3,platteland Nederland,buiten asd of dood,0,buiten asd of dood,0
210101,45,Amsterdam,1838,Nederlands Hervormd,gehuwd,metaalbewerking,ambachtsman,1846,Amsterdam,Nederlands Hervormd,9,0,0,-1,59,78,14,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210102,-1,-1,-1,-1,-1,-1,-1
210151,25,platteland Nederland,1818,Nederlands Hervormd,gehuwd,overigen,ov. zelfstandigen,1826,platteland Nederland,Nederlands Hervormd,3,0,0,-1,150,16,3,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210152,-1,-1,-1,-1,-1,-1,-1
210201,25,steden Nederland,1817,Nederlands Hervormd,gehuwd,aardewerk,ambachtsman,1833,platteland Nederland,Nederlands Hervormd,4,0,1,ander familielid,91,106,38,236,1845,vader overleden,ambachtsman,werklieden,zonder,ambachtsman,geen familie,ambachtsman,geen familie,bakker,geen familie,ambachtsman,geen familie,geen of onbekend,28,210202,17,3,platteland Nederland,buiten asd of dood,0,in Amsterdam,0
210251,2,platteland Nederland,1826,Rooms Katholiek,gehuwd,warenhandel,winkelier,1830,Amsterdam,Rooms Katholiek,2,2,0,-1,89,138,31,257,1856,vader overleden,vader overleden,ambachtsman,winkelierster,ambachtsman,broer/zwager man,ambachtsman,geen familie,240,geen familie,overigen,geen familie,geen of onbekend,30,210252,39,weduwe,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
210301,21,kolonien,1840,Nederlands Hervormd,gehuwd,zonder beroep,zonder,1854,overig buitenland,Nederlands Hervormd,1,5,0,-1,171,536,0,706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210302,-1,-1,-1,-1,-1,-1,-1
210351,2,Amsterdam,1840,Rooms Katholiek,gehuwd,overigen,overigen,1849,steden Nederland,Rooms Katholiek,3,2,0,-1,52,181,19,252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210352,-1,-1,-1,-1,-1,-1,-1
210401,35,Amsterdam,1802,Nederlands Hervormd,ongehuwd,239,commissionair,-1,-1,-1,0,3,1,ander familielid,52,180,19,251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210402,-1,-1,-1,-1,-1,-1,-1
210451,36,Amsterdam,1826,Rooms Katholiek,gehuwd,warenhandel,koopman,1825,overig buitenland,Rooms Katholiek,1,2,0,-1,0,203,26,229,1852,zonder,vader overleden,fabrikanten,zonder,arts,oom/neef vrouw,notaris,geen familie,fabrikanten,broer/zwager man,fabrikanten,broer/zwager man,buitenlands,25,210452,26,3,overig buitenland,buiten asd of dood,0,buiten asd of dood,0
210501,22,platteland Nederland,1817,Nederlands Hervormd,gehuwd,zonder beroep,zonder,1815,steden Nederland,Port. Israelitisch,0,0,0,-1,166,75,0,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210502,-1,-1,-1,-1,-1,-1,-1
210551,32,Amsterdam,1844,Evangelisch Luthers,gehuwd,warenhandel,koopman,1843,Amsterdam,Nederlands Hervormd,9,0,0,-1,100,106,8,214,1866,koopman,zonder,winkelier,zonder,schipper,oom/neef vrouw,zonder,oom/neef man,zonder,oom/neef man,commissionair,oom/neef man,"f.15,-",21,210552,22,3,Amsterdam,in Amsterdam,66,in Amsterdam,70
210601,15,Amsterdam,1828,Ned. Israelitisch,gehuwd,12,diamantbewerking,1843,Amsterdam,Ned. Israelitisch,5,1,1,ander familielid,69,50,4,122,1864,vader overleden,240,diamantbewerking,zonder,ambachtsman,broer/zwager man,diamantbewerking,geen familie,zonder,geen familie,zonder,geen familie,"f.4,-",36,210602,20,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
210651,22,Amsterdam,1828,Ned. Israelitisch,gehuwd,overigen,overigen,1830,Amsterdam,Ned. Israelitisch,5,2,0,-1,68,93,2,164,1853,artistiek beroep,diamantbewerking,diamantbewerking,zonder,diamantbewerking,broer/zwager vrouw,diamantbewerking,oom/neef vrouw,diamantbewerking,geen familie,ambachtsman,geen familie,geen of onbekend,25,210652,23,3,Amsterdam,in Amsterdam,0,in Amsterdam,0
210701,24,steden Nederland,1849,Rooms Katholiek,ongehuwd,303,notaris,-1,-1,-1,0,1,0,-1,0,148,0,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210702,-1,-1,-1,-1,-1,-1,-1
210751,25,Amsterdam,1804,Nederlands Hervormd,gehuwd,zonder beroep,zonder,1805,platteland Nederland,Nederlands Hervormd,0,2,0,-1,39,125,0,164,1835,vader overleden,vader overleden,ambtenaar,zonder,ambtenaar,oom/neef man,zonder,oom/neef vrouw,suikerraffinadeurs,broer/zwager vrouw,koopman,geen familie,"f.4,-",30,210752,28,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
210801,31,Amsterdam,1828,Nederlands Hervormd,gehuwd,202,stalhouder,1833,Duitsland,Hersteld Luthers,4,1,0,-1,16,103,19,138,1858,vader overleden,vader overleden,stalhouder,zonder,ambachtsman,oom/neef vrouw,zonder,oom/neef vrouw,koopman,broer/zwager man,ambtenaar,broer/zwager man,geen of onbekend,29,210802,24,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
210851,33,platteland Nederland,1826,Nederlands Hervormd,gehuwd,verkeerswegen,koopman,1841,platteland Nederland,Nederlands Hervormd,11,0,0,-1,0,75,38,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210852,-1,-1,-1,-1,-1,-1,-1
210901,20,platteland Nederland,1847,Nederlands Hervormd,gehuwd,203,koopman,1852,Duitsland,Nederlands Hervormd,0,0,1,ander familielid,0,119,58,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210902,-1,-1,-1,-1,-1,-1,-1
210951,14,Amsterdam,1824,Ned. Israelitisch,gehuwd,leerbewerking,ambachtsman,1817,platteland Nederland,Ned. Israelitisch,2,0,0,-1,107,123,6,236,1848,"losse arb., venter",vader overleden,ambachtsman,dienstbode,zonder,oom/neef vrouw,huispersoneel,geen familie,zonder,geen familie,zonder,geen familie,geen of onbekend,24,210952,30,3,platteland Nederland,in Amsterdam,0,buiten asd of dood,0
211001,42,platteland Nederland,1831,Nederlands Hervormd,gehuwd,238,makelaar,1836,platteland Nederland,Nederlands Hervormd,7,0,0,-1,68,203,173,444,1856,ambtenaar,makelaar,commissionair,zonder,416,oom/neef vrouw,216,oom/neef vrouw,winkelier,oom/neef man,koopman,oom/neef man,"f.15,-",24,211002,20,3,platteland Nederland,buiten asd of dood,0,in Amsterdam,144
211051,43,platteland Nederland,1846,Nederlands Hervormd,gehuwd,kerkdienst,predikant,1847,platteland Nederland,Nederlands Hervormd,5,2,0,-1,0,158,0,158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,211052,-1,-1,-1,-1,-1,-1,-1
211101,25,Amsterdam,1856,Nederlands Hervormd,gehuwd,zonder beroep,zonder,1858,Amsterdam,Nederlands Hervormd,0,1,0,-1,0,184,0,184,1883,vader overleden,kantoorbediende,vrij beroep,zonder,zonder,broer/zwager vrouw,zonder,broer/zwager vrouw,predikant,oom/neef man,predikant,oom/neef man,geen of onbekend,27,211102,24,3,Amsterdam,buiten asd of dood,0,in Amsterdam,163
211151,36,Amsterdam,1823,Nederlands Hervormd,gehuwd,303,notaris,1832,steden Nederland,Nederlands Hervormd,1,2,0,-1,0,250,320,570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,211152,-1,-1,-1,-1,-1,-1,-1
211201,2,Amsterdam,1856,Rooms Katholiek,gehuwd,voedingsmiddelen,directeur,1856,Amsterdam,Rooms Katholiek,0,2,0,-1,76,183,321,580,1880,vader overleden,vader overleden,directeur,zonder,makelaar,oom/neef vrouw,koopman,broer/zwager vrouw,koopman,broer/zwager vrouw,makelaar,broer/zwager man,geen of onbekend,24,211202,23,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
211251,25,Amsterdam,1841,Rooms Katholiek,gehuwd,238,makelaar,1844,platteland Nederland,Rooms Katholiek,4,3,0,-1,74,185,119,378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,211252,-1,-1,-1,-1,-1,-1,-1
211301,33,Amsterdam,1856,Rooms Katholiek,ongehuwd,warenhandel,koopman,-1,-1,-1,0,0,1,geen familie,0,0,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,211302,-1,-1,-1,-1,-1,-1,-1
211351,7,Amsterdam,1811,Nederlands Hervormd,weduwnaar,32,ambachtsman,1804,steden Nederland,Nederlands Hervormd,0,1,0,-1,97,49,28,173,1835,ambachtsman,vader overleden,ambachtsman,dienstbode,ambachtsman,vader vrouw,winkelier,geen familie,winkelier,geen familie,ambachtsman,geen familie,geen of onbekend,23,211352,30,3,steden Nederland,in Amsterdam,0,buiten asd of dood,0
211401,7,Amsterdam,1849,Evangelisch Luthers,gehuwd,warenhandel,koopman,1859,Amsterdam,Nederlands Hervormd,1,0,0,-1,17,467,47,532,1880,vader overleden,artistiek beroep,koopman,zonder,artistiek beroep,geen familie,zonder,geen familie,artistiek beroep,geen familie,zonder,geen familie,geen of onbekend,30,211402,20,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
211451,23,Amsterdam,1830,Doopsgezind,gehuwd,warenhandel,koopman,1836,Amsterdam,Nederlands Hervormd,4,3,1,ander familielid,216,299,320,834,1855,vader overleden,zonder,koopman,zonder,koopman,broer/zwager man,koopman,broer/zwager man,zonder,oom/neef vrouw,koopman,oom/neef vrouw,"f.50,-",23,211452,19,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
211501,11,Amsterdam,1845,Hersteld Luthers,gehuwd,207,240,1844,Amsterdam,Hersteld Luthers,4,0,0,-1,44,38,120,203,1870,vader overleden,ambachtsman,240,naaister,ambachtsman,broer/zwager man,ambachtsman,oom/neef vrouw,ambachtsman,oom/neef vrouw,240,geen familie,"f.4,-",25,211502,24,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
211551,42,Amsterdam,1851,Waals Hervormd,gehuwd,167,fabrikanten,1852,Amsterdam,Nederlands Hervormd,3,1,0,-1,44,39,36,119,1878,zonder,vader overleden,fabrikanten,zonder,winkelier,broer/zwager man,zonder,geen familie,kantoorbediende,geen familie,boekhouder,geen familie,geen of onbekend,26,211552,25,3,Amsterdam,in Amsterdam,52,buiten asd of dood,0
211601,23,Amsterdam,1808,Doopsgezind,ongehuwd,zonder beroep,zonder,-1,-1,-1,0,2,0,-1,47,173,0,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,211602,-1,-1,-1,-1,-1,-1,-1
211651,24,Amsterdam,1840,Nederlands Hervormd,gehuwd,162,bakker,1838,Amsterdam,Nederlands Hervormd,2,0,0,-1,95,83,60,238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,211652,-1,-1,-1,-1,-1,-1,-1
